"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"51",51,2015,829826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,139,150,140,119,140,138,146,132,-8,-5.8,6,4.2,-2,-1.4,-20,-14.7,1,0.4,11,7.9,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"52",52,2015,829828,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,202,198,214,173,161,167,182,162,1,0.5,21,13.1,6,3.6,-29,-14.2,12,6,-4,-1.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"53",53,2016,980906,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121,142,117,109,126,140,145,152,26,20.4,19,14.7,14,11.4,-12,-9.6,-4,-2.9,21,17.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"54",54,2016,980908,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,139,123,118,99,117,123,121,22,22.3,24,23.8,18,18.2,20,20.9,25,25.3,41,41.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"55",55,2016,980910,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,161,189,180,166,162,142,162,164,2,1.2,0,0,-20,-12.1,5,3.1,19,12.1,28,17.3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"56",56,2016,980912,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,227,178,189,219,182,191,197,185,3,1.4,15,8.3,9,4.8,-8,-3.5,-38,-17,-49,-21.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"57",57,2016,980914,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,187,166,172,192,188,163,172,170,-18,-9.4,-16,-8.7,-25,-13.2,5,2.9,-15,-8.2,-21,-11,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"58",58,2016,980916,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,163,153,182,174,164,168,157,167,3,2,-7,-4.2,4,2.7,11,6.5,19,11.6,-10,-6.3,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"59",59,2016,980918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,111,158,131,108,113,112,130,167,3,2,17,14.8,-1,-0.9,-3,-2.7,20,17.7,47,42.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"60",60,2016,980920,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,142,146,124,140,146,141,154,147,1,0.4,8,5.3,-5,-3.1,-2,-1.4,-18,-12.9,4,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
